id,name,age,income,is_active,signup_date,tier
48,Denise,43,76529.53,True,2021-11-05,silver
49,Teresa,19,74951.72,True,2021-07-29,gold
50,Christopher,37,65649.12,True,2022-06-11,free
51,Sarah,45,53617.82,True,2020-06-08,bronze
52,Marcus,64,56767.0,True,2021-07-09,bronze
53,Bryan,24,55704.43,True,2023-04-21,silver
54,Teresa,61,39137.73,True,2024-04-06,bronze
55,Breanna,25,,True,2023-01-19,bronze
56,Teresa,64,60358.39,True,2020-09-15,free
57,Tony,52,70300.59,True,2020-05-27,free
58,John,31,63882.43,True,2024-08-19,free
59,Larry,34,44918.58,True,2022-04-22,free
60,Beth,53,46120.82,True,2024-03-09,free
61,Tammy,57,79705.79,False,2025-01-07,silver
62,Sandra,21,68395.82,False,2024-05-06,free
63,Alexander,19,54297.71,True,2023-07-24,free
64,Timothy,23,68405.76,True,2023-08-17,free
65,Richard,59,46929.07,True,2023-09-21,silver
66,Karen,21,76285.39,True,2021-04-20,bronze
67,Jeanne,46,39637.26,False,2019-08-25,silver
68,Christy,35,62951.64,False,2022-04-18,free
69,Frank,43,57951.82,True,2022-03-31,bronze
70,Jody,61,60195.14,True,2022-02-27,silver
71,Steven,51,,False,2022-03-10,silver
72,Anthony,27,75015.81,True,2020-03-19,free
73,Mike,53,53817.75,True,2022-11-30,silver
74,Carla,31,30128.65,True,2022-11-01,silver
75,Michael,48,34248.35,False,2024-07-28,silver
76,Samuel,65,54269.48,True,2025-03-31,gold
77,Jeremy,32,60514.12,False,2021-06-13,free
78,Kayla,25,65629.78,True,2023-03-27,free
79,Denise,31,62869.9,True,2024-07-27,bronze
80,Steven,40,73357.7,True,2020-06-13,free
81,Patricia,57,87024.23,True,2020-11-26,free
82,Timothy,38,61443.38,True,2023-12-23,silver
83,Jeremy,33,65413.01,True,2020-12-16,free
84,Marcus,62,48521.75,False,2022-01-24,bronze
85,Anna,35,60823.12,True,2023-05-17,silver
86,Daniel,64,63103.11,True,2020-03-01,silver
87,Lori,41,62309.82,True,2024-02-27,gold
88,Courtney,43,,True,2020-08-18,free
89,Lauren,42,,True,2021-02-19,bronze
90,Tonya,62,61375.92,False,2020-07-16,gold
91,Juan,58,64751.83,True,2024-06-04,free
92,Melissa,46,53991.77,True,2020-12-15,gold
93,David,32,,True,2023-08-15,free
94,Natasha,62,92656.72,True,2023-11-05,silver
95,Lee,18,60817.9,True,2020-02-03,free
96,Laura,42,76064.63,False,2022-08-08,bronze
97,Christine,24,81382.07,False,2024-08-15,free
98,Paul,26,38212.07,True,2020-03-25,free
99,Melissa,41,57009.75,True,2021-02-17,free
100,Matthew,18,57690.06,False,2023-09-07,free
101,David,61,90212.76,True,2021-02-19,gold
102,Timothy,25,88244.81,True,2023-03-22,free
103,Jake,41,38195.03,True,2023-06-25,bronze
104,Morgan,28,44913.19,False,2024-05-28,gold
105,Jodi,34,78381.24,False,2021-12-22,bronze
106,Erin,25,52163.71,False,2023-08-15,silver
107,Danny,52,69727.25,True,2022-09-20,silver
108,Krista,52,56715.86,True,2024-10-26,gold
109,Mark,50,43932.32,False,2021-05-14,silver
110,Shari,22,79567.07,True,2021-06-18,free
111,Sara,59,49094.69,True,2020-07-10,silver
112,Savannah,56,58055.18,True,2024-11-08,free
113,David,58,42981.44,True,2020-04-09,bronze
114,Monica,45,43340.45,True,2019-06-26,silver
115,Keith,24,60887.15,True,2020-01-07,free
116,Sarah,26,45728.33,True,2024-03-21,free
117,John,25,82612.76,False,2022-02-27,bronze
118,Amy,29,70334.84,True,2023-04-18,free
119,Sara,51,71902.26,True,2024-05-12,silver
120,Kendra,50,55606.26,True,2023-05-09,silver
121,Jason,65,56020.19,True,2021-03-08,gold
122,Jeffrey,40,66655.32,False,2019-10-02,free
123,Michael,41,19438.1,False,2021-05-09,gold
124,Laurie,54,,True,2024-05-14,free
125,Timothy,52,32693.17,False,2021-03-30,silver
126,Andrew,61,63409.77,False,2021-10-17,free
127,Kimberly,57,42650.71,False,2022-01-25,silver
128,Lisa,39,58186.04,True,2024-08-29,silver
129,William,44,46689.7,False,2020-08-20,free
130,Jacqueline,52,81412.48,True,2021-06-21,free
131,Heather,18,93916.69,False,2020-01-04,free
132,Andrew,52,73753.51,False,2023-09-21,bronze
133,Timothy,54,74594.38,False,2021-06-22,silver
134,Keith,64,59360.79,True,2024-11-06,free
135,Joseph,31,50578.16,False,2021-05-24,free
136,Alexander,20,31092.29,True,2020-09-28,free
137,Joshua,18,62728.56,True,2024-08-24,free
138,Diane,22,,False,2022-03-15,silver
139,Willie,43,63365.29,True,2020-08-01,free
140,John,31,49337.72,True,2023-07-22,bronze
141,Laura,56,37628.9,True,2023-12-15,silver
142,Jonathan,44,42616.99,False,2024-05-14,silver
143,Joseph,26,82974.95,True,2019-10-07,bronze
144,Dennis,32,,True,2024-11-17,silver
145,Tricia,32,36424.8,True,2024-12-26,bronze
146,Isaiah,43,49944.01,True,2020-09-04,silver
147,Christine,59,33804.36,True,2019-12-03,silver
148,Carla,30,60918.8,False,2020-09-04,silver
149,Natalie,49,61308.05,False,2021-09-23,silver
150,Robert,56,58262.54,True,2022-03-20,silver
151,Tracey,49,52444.3,True,2024-04-22,silver
152,Kelly,21,63677.6,False,2019-10-08,gold
153,Tyler,47,69768.52,True,2023-11-10,bronze
154,Elizabeth,54,70407.15,False,2023-07-28,gold
155,Kristina,40,78300.12,True,2020-11-17,free
156,Brooke,56,,False,2024-11-24,free
157,Sonia,62,51220.28,True,2022-07-25,gold
158,Christina,32,74291.97,False,2021-04-03,bronze
159,Alex,60,51568.85,True,2020-05-27,gold
160,Kyle,46,56796.47,True,2020-02-10,bronze
161,Cathy,53,51785.73,True,2019-06-08,free
162,Christy,30,85471.25,False,2022-12-30,free
163,Daryl,49,68773.22,False,2021-12-10,silver
164,John,24,,False,2019-10-09,free
165,Matthew,39,59979.74,False,2022-07-09,bronze
166,Donald,45,66078.8,True,2020-03-06,free
167,Diana,19,43155.29,True,2025-04-25,silver
168,Jamie,59,65314.59,True,2022-01-15,silver
169,Steven,62,57736.51,False,2022-11-14,silver
170,Jose,23,41622.43,True,2022-05-28,bronze
171,Brittany,45,39796.41,False,2023-07-01,silver
172,Gregory,45,80532.6,False,2021-03-18,silver
173,Megan,61,47418.27,True,2023-08-07,free
174,Vanessa,61,75120.31,True,2023-03-31,bronze
175,Matthew,37,69850.1,True,2020-07-10,free
176,Ray,47,50649.39,True,2021-07-06,bronze
177,Michael,28,,True,2021-04-23,silver
178,Teresa,45,64922.72,True,2020-10-07,free
179,Veronica,42,73599.8,True,2025-04-12,free
180,Matthew,56,62621.95,True,2024-04-16,free
181,Andre,50,55021.19,True,2021-04-20,bronze
182,Megan,18,79855.71,True,2020-07-17,gold
183,Brandon,44,70964.63,True,2019-09-03,free
184,Ronald,30,50350.81,True,2021-05-03,free
185,Tanya,58,57353.72,False,2020-05-19,free
186,Krista,20,79495.76,False,2021-07-10,silver
187,Sean,56,82480.39,True,2021-03-27,bronze
188,Mandy,23,57326.83,True,2020-05-08,free
189,Charles,25,,True,2024-10-26,free
190,Edward,44,65413.29,True,2023-07-06,gold
191,Tommy,26,43495.53,True,2024-11-23,silver
192,Kelly,54,67646.84,False,2019-06-25,gold
193,Beverly,50,27715.42,True,2022-01-12,bronze
194,Tammy,59,,True,2020-05-13,gold
195,Ryan,61,,False,2025-04-22,silver
196,Stephen,41,14612.98,False,2020-12-27,bronze
197,Ian,32,45527.34,True,2023-03-12,free
198,Raymond,49,33580.16,True,2023-05-19,free
199,Rachel,49,44620.53,True,2024-08-11,free
200,Edward,41,62005.61,True,2023-05-18,silver
201,Kimberly,58,86134.12,True,2024-11-11,silver
202,John,29,67753.56,True,2020-11-22,free
203,Mary,56,,True,2019-12-27,silver
204,Destiny,19,70761.57,True,2023-06-15,gold
205,Debra,20,69298.81,True,2024-10-16,free
206,Edwin,54,81699.64,True,2024-03-07,silver
207,Keith,34,72563.59,True,2024-05-27,silver
208,Max,19,60083.82,False,2019-12-25,silver
209,Sarah,19,37406.21,True,2022-12-19,gold
210,Brian,45,80244.87,True,2020-01-24,gold
211,Mary,40,58138.23,True,2021-10-28,silver
212,Vincent,54,46670.57,False,2023-04-13,free
213,Jasmine,49,30235.85,True,2023-12-23,free
214,Patty,50,42756.92,False,2024-02-10,bronze
215,Jasmine,18,66035.52,False,2021-10-06,bronze
216,David,36,54158.7,True,2023-12-16,free
217,Jorge,19,74876.65,True,2022-08-31,free
218,Chelsey,61,,True,2020-09-24,free
219,Carlos,43,27977.14,True,2022-02-04,free
220,Joann,49,44733.17,False,2023-12-27,gold
221,Christopher,23,62080.07,True,2023-10-08,gold
222,Doris,49,82204.57,True,2021-02-18,gold
223,Charles,21,47433.01,False,2023-11-18,silver
224,Hannah,28,63382.18,True,2022-02-09,silver
225,Alan,34,43644.58,True,2019-10-15,gold
226,Sean,55,,False,2019-09-17,free
227,Jimmy,41,62068.23,True,2020-07-14,bronze
228,Barbara,22,55125.2,True,2020-02-18,bronze
229,Alexander,51,84566.0,True,2019-06-09,bronze
230,Michael,23,77853.74,True,2023-03-03,bronze
231,Heather,39,55212.39,False,2021-11-02,gold
232,Christopher,28,56088.85,True,2021-07-15,free
233,Jeffrey,65,71956.95,True,2022-01-17,free
234,Sean,33,60713.9,False,2024-02-09,silver
235,Tom,50,60189.56,False,2020-03-29,gold
236,Kevin,26,49694.64,True,2020-10-28,gold
237,Nathaniel,23,68982.08,False,2020-03-09,silver
238,John,33,50402.99,True,2024-10-23,free
239,Justin,46,50398.26,True,2022-03-15,silver
240,Zachary,20,64337.27,True,2021-07-01,silver
241,Allen,37,,True,2022-11-20,bronze
242,David,53,60506.97,True,2022-08-02,free
243,Craig,36,32778.09,True,2021-02-05,gold
244,Thomas,43,63570.25,False,2023-10-06,free
245,Theresa,20,29890.76,False,2020-10-11,free
246,Elizabeth,36,75334.58,True,2020-11-10,gold
247,Michael,37,51696.76,True,2022-11-11,gold
248,Robert,49,62384.52,True,2024-03-30,silver
249,Richard,24,51285.52,True,2022-04-16,free
250,Stephanie,58,64616.81,False,2021-04-08,silver
251,Thomas,50,41924.4,True,2021-09-14,silver
252,Marissa,57,87765.36,True,2019-10-18,free
253,Larry,56,49700.13,True,2024-03-14,bronze
254,Donald,35,73140.83,True,2021-04-23,gold
255,Tyler,57,,False,2020-01-22,free
256,Anthony,18,54110.71,False,2024-10-22,bronze
257,Christopher,28,,True,2020-08-24,bronze
258,Denise,45,51042.1,False,2021-04-14,gold
259,James,42,66346.43,True,2021-11-02,silver
260,Elizabeth,40,67011.15,True,2024-09-06,free
261,Sarah,48,66114.32,True,2024-06-13,free
262,Jacqueline,47,46916.01,True,2019-10-26,free
263,Molly,59,,False,2019-12-16,gold
264,Samuel,52,47303.58,True,2021-04-10,silver
265,David,24,81995.17,True,2024-05-11,free
266,Anthony,33,46117.34,True,2022-01-25,free
267,Hayden,43,52919.76,True,2020-09-02,free
268,Kelly,65,60870.93,True,2022-01-12,bronze
269,Annette,19,44679.3,True,2022-02-05,free
270,Edwin,18,69504.41,False,2021-12-11,gold
271,Justin,65,76711.27,True,2020-01-09,free
272,John,29,46751.96,True,2020-02-13,gold
273,Jane,22,49819.61,True,2021-08-11,gold
274,Julie,54,77910.03,True,2022-10-14,gold
275,Robert,49,62170.72,True,2022-08-10,free
276,Amanda,26,56693.51,True,2023-11-30,free
277,Karen,58,48568.11,True,2024-10-06,silver
278,Jessica,52,54463.4,False,2025-01-03,free
279,Jennifer,36,57803.09,False,2020-07-09,bronze
280,Sandra,65,69592.52,True,2021-02-05,free
281,Justin,33,59959.05,False,2019-06-08,gold
282,Alicia,20,46347.48,True,2020-07-03,gold
283,Anthony,37,52157.47,True,2023-05-17,free
284,Kimberly,41,,True,2020-01-09,bronze
285,James,50,58013.28,False,2022-09-24,free
286,Crystal,41,93812.8,False,2025-01-16,bronze
287,Jay,28,97155.64,True,2023-09-19,gold
288,Andrea,25,64909.08,True,2021-12-13,free
289,Brandon,53,35208.15,True,2022-09-08,free
290,Lori,55,73891.17,True,2020-06-04,free
291,Charles,57,70008.9,True,2022-11-14,gold
292,Ana,37,100305.66,True,2020-03-08,free
293,Jonathan,52,61118.78,True,2024-08-21,free
294,Riley,65,53622.73,True,2020-10-10,free
295,John,42,45022.73,True,2022-10-30,silver
296,Thomas,52,72336.41,False,2022-03-15,bronze
297,Charles,42,57182.04,True,2021-08-03,free
298,Nancy,46,56158.12,True,2024-08-12,silver
299,Danielle,35,52450.31,True,2021-06-07,free
300,Jennifer,63,93001.16,True,2024-03-16,silver
301,Jennifer,35,53815.94,True,2020-12-29,free
302,Brandy,19,70506.72,False,2020-03-27,gold
303,Harry,52,66933.54,True,2022-06-02,silver
304,Maria,33,26654.35,False,2021-07-25,gold
305,Tiffany,58,93198.69,False,2023-01-24,free
306,Laura,53,32207.87,True,2025-02-21,free
307,Wendy,50,46483.85,False,2025-03-02,silver
308,Taylor,21,52380.37,True,2020-10-25,gold
309,Samantha,50,49121.46,True,2019-05-16,silver
310,David,31,56564.66,False,2021-08-03,gold
311,Jacqueline,38,,False,2020-02-02,free
312,Michelle,65,80349.54,True,2021-01-06,free
313,Sandra,37,68863.37,True,2019-06-09,silver
314,Marc,25,50689.13,False,2025-03-11,bronze
315,Debra,24,47450.2,True,2022-05-23,silver
316,Shari,20,51526.05,True,2020-01-01,free
317,Sarah,34,46421.84,True,2022-01-13,silver
318,Melanie,50,42015.77,True,2023-08-03,gold
319,David,65,74031.25,True,2020-10-03,free
320,Lawrence,29,54147.63,False,2023-10-17,silver
321,Ricky,39,65926.5,True,2022-04-19,free
322,Lisa,39,60975.53,True,2019-05-09,free
323,Alisha,63,81743.72,False,2025-03-30,bronze
324,Steven,47,73429.91,True,2022-07-01,free
325,Joseph,55,65425.93,True,2022-06-22,gold
326,Julie,55,94430.26,True,2022-03-02,free
327,Catherine,62,,False,2022-06-13,silver
328,Nicholas,25,57184.17,True,2024-06-16,free
329,Debra,44,69796.84,True,2023-01-16,gold
330,Tammy,44,72664.98,False,2019-10-03,bronze
331,Gary,51,46819.39,False,2024-03-03,free
332,Sheri,38,59491.28,True,2025-02-16,bronze
333,Victoria,47,60333.15,True,2019-12-22,gold
334,Cody,50,94958.7,True,2022-11-08,free
335,Katherine,45,69935.06,False,2022-03-02,silver
336,Kimberly,64,76211.11,True,2023-10-16,bronze
337,Natasha,50,54172.46,True,2021-12-07,silver
338,Jose,22,48743.1,False,2021-11-03,free
339,Kelly,65,53643.68,False,2024-06-03,bronze
340,Wanda,36,68217.74,True,2024-01-23,gold
341,Teresa,21,82128.11,False,2020-09-06,free
342,Rebecca,52,38663.01,True,2023-10-14,silver
343,Frederick,34,89713.51,True,2019-09-07,bronze
344,Joseph,61,73295.21,True,2023-07-27,free
345,Hector,45,75015.64,False,2021-11-21,silver
346,Tina,47,74012.59,True,2020-04-28,free
347,Julie,46,53907.38,True,2021-05-13,gold
348,Richard,63,58083.08,False,2020-02-04,free
349,Daniel,23,70206.85,False,2022-09-27,silver
350,Stacy,52,56251.86,True,2023-06-14,bronze
351,Stephen,58,63511.45,True,2022-01-31,free
352,Melissa,54,50044.32,True,2021-05-12,bronze
353,Jorge,41,71592.37,True,2020-12-17,free
354,Frances,46,57887.1,True,2024-12-07,bronze
355,Mary,63,53928.26,False,2019-07-04,free
356,Shelley,48,47616.0,True,2022-11-26,silver
357,Thomas,52,50024.22,True,2025-01-28,silver
358,Luis,50,40195.0,True,2022-07-22,silver
359,Nicole,38,66347.01,True,2024-09-22,silver
360,Brad,49,51028.25,True,2019-05-13,free
361,Charles,40,59364.05,True,2024-05-30,silver
362,Kristine,50,78227.24,False,2023-04-07,bronze
363,Yolanda,20,58202.11,True,2023-01-21,silver
364,Mark,35,57634.5,False,2022-07-29,free
365,Cynthia,42,59239.36,True,2019-09-13,free
366,Deborah,59,,True,2022-10-17,silver
367,Cathy,48,52984.41,True,2024-06-15,free
368,Brooke,20,72780.8,True,2024-10-07,silver
369,Mark,57,61951.09,True,2020-04-19,silver
370,Keith,63,51856.84,True,2022-12-21,gold
371,Kristen,41,54854.58,True,2022-10-22,free
372,Joshua,49,,False,2019-07-19,silver
373,Linda,64,50138.62,False,2019-10-19,silver
374,Nancy,39,66299.85,True,2023-07-20,gold
375,Samantha,40,67169.42,True,2019-10-05,bronze
376,Daniel,19,43874.36,False,2023-09-24,silver
377,David,44,38299.94,False,2024-11-19,silver
378,Gregory,59,,True,2024-12-08,gold
379,Jacob,19,72082.54,False,2020-06-15,bronze
380,Thomas,43,37939.26,True,2024-03-06,free
381,Penny,34,,True,2023-05-22,silver
382,Deborah,57,70087.56,True,2023-09-05,bronze
383,Zachary,50,43970.75,True,2021-12-20,free
384,John,26,75343.82,True,2021-01-21,bronze
385,Amy,60,99763.96,True,2023-10-29,silver
386,Christina,65,47768.34,False,2020-11-21,bronze
387,Maria,56,82088.66,False,2024-07-17,bronze
388,Christina,46,64918.73,False,2025-04-29,silver
389,Jacqueline,59,48121.44,True,2020-06-07,bronze
390,Christine,43,83889.38,True,2022-06-14,free
391,Jason,52,66101.56,True,2025-01-22,silver
392,Christine,42,77851.82,True,2019-10-31,free
393,Dean,41,95185.14,True,2021-10-23,silver
394,Amy,30,58387.07,False,2024-09-17,free
395,Juan,24,68289.56,True,2019-12-04,bronze
396,Kathleen,53,,False,2019-09-30,free
397,Jesus,62,53022.4,True,2023-11-05,free
398,Michael,37,58778.03,True,2023-05-05,gold
399,John,18,63174.06,True,2023-05-08,bronze
400,Rodney,25,28067.84,True,2020-05-28,gold
401,Kevin,63,83229.97,True,2020-07-28,gold
402,Michael,33,69511.48,False,2024-01-11,free
403,Amy,31,67750.31,True,2023-11-17,gold
404,Keith,29,90730.1,True,2021-11-26,silver
405,Sandra,40,,True,2024-08-15,bronze
406,Ronnie,32,57729.62,True,2024-08-26,bronze
407,James,45,51455.03,True,2022-07-16,free
408,Daniel,51,69344.43,True,2024-06-25,free
409,Kristy,19,83273.42,False,2022-02-21,silver
410,Derek,49,57770.54,True,2022-06-12,free
411,Philip,40,73339.96,True,2022-10-02,free
412,Amber,39,85595.24,True,2024-12-10,bronze
413,Ashley,42,74823.44,True,2020-11-28,free
414,Jessica,39,36075.71,True,2019-06-13,silver
415,Brenda,39,42078.4,True,2022-09-18,free
416,Paul,59,89745.48,False,2020-01-24,bronze
417,Matthew,23,61647.06,True,2024-10-11,silver
418,William,32,64951.26,True,2021-10-09,silver
419,Carrie,60,68521.29,True,2021-12-24,free
420,Brittney,54,81479.41,True,2023-10-16,free
421,Hannah,50,48257.03,True,2019-08-07,free
422,James,25,53808.7,True,2025-01-16,free
423,Patrick,61,44919.52,True,2021-06-18,bronze
424,Corey,61,29039.74,False,2021-04-27,silver
425,Joshua,22,66150.59,True,2020-09-10,free
426,Shawn,56,47012.5,True,2024-03-24,silver
427,Raven,21,74438.27,False,2019-10-31,gold
428,Meredith,23,50899.86,True,2021-12-20,silver
429,Nicole,62,39800.09,True,2022-10-27,silver
430,Amy,49,75813.56,False,2019-09-27,silver
431,Carmen,47,67843.35,False,2022-11-13,free
432,Cory,64,57516.86,True,2022-06-13,silver
433,Matthew,52,58358.45,True,2024-04-10,silver
434,Katie,57,69011.61,True,2023-11-21,bronze
435,Martin,33,85524.42,True,2024-02-26,silver
436,Jennifer,30,66025.73,True,2023-06-08,silver
437,Katie,59,,True,2023-03-07,silver
438,Theresa,47,53144.69,False,2020-01-26,bronze
439,Austin,36,56456.26,False,2025-03-19,gold
440,Rachel,34,10280.62,True,2025-04-04,free
441,Melanie,36,45851.93,False,2023-08-25,free
442,Hailey,45,44023.74,True,2024-08-18,free
443,Paula,43,43620.94,True,2024-08-21,bronze
444,Erin,54,54271.51,False,2019-08-01,silver
445,James,43,55863.65,False,2022-06-19,free
446,Veronica,40,44023.29,True,2020-09-01,silver
447,Rhonda,26,78878.15,True,2024-05-31,bronze
448,Francisco,29,68984.88,False,2020-10-18,free
449,Mark,18,,False,2021-02-25,free
450,Ellen,18,69683.09,True,2022-07-25,silver
451,Kayla,64,34211.47,True,2023-08-24,silver
452,Jared,51,33787.01,True,2023-11-15,free
453,Joshua,49,78273.11,False,2021-05-19,free
454,Jamie,65,95727.31,True,2025-04-19,silver
455,John,42,,True,2024-08-05,gold
456,Alexis,57,93756.71,True,2025-02-15,free
457,Casey,62,60017.56,True,2024-03-27,bronze
458,Brooke,18,,True,2024-06-04,free
459,Dakota,33,74703.92,True,2020-12-15,gold
460,Jenny,56,27739.05,True,2024-10-19,silver
461,Joshua,22,51189.3,True,2024-03-14,silver
462,Richard,39,47586.14,True,2020-01-07,free
463,Ashley,46,42003.3,False,2022-06-02,free
464,Robin,20,,True,2023-08-17,free
465,Bradley,29,64356.8,False,2022-12-19,silver
466,John,43,79671.99,True,2023-06-10,gold
467,Michael,33,75623.04,True,2024-08-08,bronze
468,Robert,54,36094.55,True,2020-09-15,free
469,Dana,39,94348.27,False,2021-04-06,free
470,Valerie,46,78695.27,True,2024-04-07,silver
471,Marie,31,60607.36,True,2023-04-13,free
472,Shannon,45,80181.64,True,2019-11-17,gold
473,Miranda,22,46180.49,True,2020-08-26,silver
474,James,64,72669.04,True,2019-05-03,free
475,Jody,47,30981.15,False,2023-04-17,gold
476,Raymond,63,55391.69,False,2022-10-25,free
477,Cole,22,,True,2020-07-29,gold
478,Gregory,29,53126.98,True,2023-09-25,free
479,Katherine,33,53785.05,True,2021-02-24,free
480,Sandra,43,50939.05,True,2020-01-21,bronze
481,David,43,57041.66,False,2023-07-07,bronze
482,Robert,65,44823.32,True,2022-07-15,silver
483,John,38,83729.5,True,2022-01-29,free
484,Michael,56,42013.3,False,2021-08-18,free
485,Matthew,53,64858.67,False,2021-04-07,gold
486,Jody,50,,True,2020-11-09,free
487,Trevor,47,48962.63,True,2023-05-07,free
488,Kristina,54,38157.31,True,2020-06-13,bronze
489,Catherine,40,51329.83,True,2023-08-10,free
490,Corey,27,54063.06,True,2023-02-02,free
491,Sue,22,73782.96,True,2021-11-28,free
492,Victoria,53,57782.14,True,2022-07-08,free
493,Morgan,51,60037.58,True,2022-10-10,free
494,Kaitlin,48,38921.0,False,2021-09-14,free
495,Robert,27,57092.78,False,2022-09-14,silver
496,Kelsey,36,81547.16,True,2025-03-18,free
497,Janet,49,76443.54,True,2020-11-23,gold
498,Steven,18,52454.83,True,2022-02-08,free
499,Dawn,22,,False,2024-04-11,bronze
500,Mitchell,62,57898.54,True,2020-03-11,free
501,Pamela,21,67563.02,False,2022-11-09,free
502,Laura,33,55581.87,True,2022-12-10,gold
503,Kelli,41,45500.61,True,2020-07-12,silver
504,David,33,44735.56,True,2021-06-20,gold
505,Vicki,19,67904.02,True,2023-11-25,free
506,Caleb,45,20301.73,False,2020-12-15,silver
507,Paul,49,75966.23,True,2020-11-12,free
508,Tiffany,44,56394.75,True,2024-02-26,silver
509,Krista,37,50362.92,False,2022-05-07,silver
510,Joseph,41,74980.93,False,2023-12-25,free
511,Deborah,29,18498.11,True,2021-11-23,free
512,Kayla,52,66931.94,True,2022-06-22,silver
513,Sarah,50,84610.37,False,2022-03-12,gold
514,Tyler,50,39422.93,True,2022-06-10,free
515,Michael,60,53182.36,False,2019-07-31,bronze
516,Debra,54,66787.71,False,2021-09-16,free
517,Jonathan,29,36439.2,True,2022-01-31,bronze
518,Jason,20,63691.08,False,2021-11-16,bronze
519,Patricia,18,,True,2024-04-14,silver
520,Kristen,50,64907.58,True,2022-06-11,gold
521,Kristin,57,64410.99,False,2023-07-04,bronze
522,Diana,27,41942.1,True,2019-08-28,bronze
523,Erica,60,79945.95,True,2025-02-24,bronze
524,Elizabeth,61,19117.4,True,2019-07-01,silver
525,Sarah,46,59450.59,False,2021-05-27,free
526,Mary,30,73736.85,True,2022-11-21,free
527,Kenneth,29,22502.25,True,2021-02-16,free
528,Daniel,48,29786.01,True,2021-07-26,free
529,Stefanie,63,37837.89,True,2020-01-16,bronze
530,Kevin,19,80593.43,True,2022-07-18,free
531,Amber,52,50452.53,True,2022-08-06,free
532,Jennifer,40,73448.14,True,2024-10-09,free
533,Jesus,34,71028.28,True,2020-08-23,bronze
534,Brandon,43,35091.22,False,2024-07-31,free
535,Keith,25,54158.67,False,2025-03-20,silver
536,Greg,46,56579.56,True,2020-02-18,free
537,Elizabeth,43,67665.74,True,2024-05-27,free
538,Mark,27,63415.73,False,2024-05-23,free
539,Tara,43,59014.89,True,2022-03-14,free
540,Brittany,51,77471.26,False,2021-06-01,silver
541,Margaret,58,,True,2020-07-18,bronze
542,Bradley,24,38276.76,True,2021-02-24,bronze
543,Nicole,21,,False,2022-10-14,silver
544,Robert,62,60476.07,False,2021-07-31,free
545,Todd,28,61268.98,True,2020-04-08,gold
546,Peggy,46,68260.84,False,2024-10-14,free
547,Sharon,53,65596.89,True,2020-05-05,free
548,Morgan,42,68933.16,False,2019-11-22,silver
549,Keith,38,70696.96,False,2021-02-11,gold
550,Melissa,53,55755.78,True,2025-01-31,free
551,Shannon,27,54941.79,True,2023-11-27,silver
552,Patricia,54,80923.68,False,2024-11-11,free
553,Ian,26,52554.6,True,2023-08-23,free
554,Samantha,41,71096.62,True,2019-10-13,free
555,Michael,52,48665.58,True,2024-06-14,free
556,Jennifer,52,65019.48,True,2020-10-01,bronze
557,Karen,65,66106.06,True,2022-03-19,gold
558,Charles,53,69734.45,True,2019-06-09,gold
